input,reference,decoded1,decoded2,decoded3
ayodhyanaath,अयोध्यानाथ,अयोद्यनाथ,अयोध्यनाथ,अयोद्यााथ
ayodhyanath,अयोध्यानाथ,अयोद्यनाथ,अयोध्यनाथ,आयोद्यनाथ
ayodhyeanath,अयोध्यानाथ,अयोद्ययनाथ,अयोध्ययनाथ,अयोद्यीनाथ
aradas,अरदास,अरदास,अरदसस,आरदास
ardaas,अरदास,अरदास,आरदास,अर्ास
ardas,अरदास,अरदास,अरदसस,आरदास
arabab,अरबाब,अरबब,अरबा,आरबब
arbab,अरबाब,अरबब,अरबा,अर्ब
around,अराउंड,आरोंड,अरोंड,आरांड
arjent,अर्जेंट,अर्जेंट,अरजजेंट,एर्जेंट
urgent,अर्जेंट,यूर्जेंट,यरर्जेंट,य्र्जेंट
arth,अर्थ,अर्थ,आर्थ,एर्थ
artha,अर्थ,अर्था,अर्थ,आर्था
earth,अर्थ,ईथ,ईथ्,इथ
earthquake,अर्थक्वेक,इर्थकुक,एर्थकुक,इर्थक्क
arthon,अर्थों,अर्थों,आर्थों,अर्थनं
arpit,अर्पित,अरपिट,अर्िट,अरपीट
aryama,अर्यमा,अर्यामा,अर्यममा,आर्यामा
aryma,अर्यमा,अर्यमा,आर्यमा,अरियमा
arymaa,अर्यमा,अर्यमा,आर्यमा,अरियमा
alankaar,अलंकार,अलंकार,आलंकार,एलंकार
alankar,अलंकार,अलंकर,अलंका,आलंकर
alnkaar,अलंकार,अलंकार,अल्कार,अलनकार
alankaaron,अलंकारों,अलंकारों,आलंकारों,एलंकारों
alankaron,अलंकारों,अलंकरों,आलंकरों,अलंकाों
alnkaaron,अलंकारों,अलंकारों,अल्कारों,अलनकारों
alnkaron,अलंकारों,अलंकरों,अल्करों,अलंकाों
alagavavadi,अलगाववादी,अलगवावादी,अलगवववादी,आलगवावादी
algavvadi,अलगाववादी,अल्गववादी,अल्गावादी,आल्गववादी
algavwaadi,अलगाववादी,अल्गववादी,अल्गावादी,आल्गववादी
alive,अलाइव,एलिव,अलिव,आलिव
alance,अलायंस,एलेंस,अलेंस,आलेंस
alayans,अलायंस,अलायंस,आलायंस,एलायंस
aliance,अलायंस,एलियंस,एलायंस,एलियनस
alind,अलिंद,अलिंड,एलिंड,आलिंड
alai,अली,अलाई,आलाई,एलाई
ali,अली,एली,अली,आली
alii,अली,अली,एली,अलीई
alonso,अलोंसो,एलोंसो,एलोनसो,आलोंसो
aloso,अलोंसो,एलोसो,आलोसो,अलोसो
alphabet,अल्फ़ाबेट,अल्फबेत,अल्फाेत,अल्फबित
alba,अल्बा,अलबा,अल्ा,एलबा
avantipur,अवंतिपुर,अवंतिपुर,अवंतीपुर,आवंतिपुर
awantipora,अवंतिपुर,अवांटीपोरा,एवांटीपोरा,अवंंटीपोरा
avaru,अवरु,अवरू,आवरू,अवाू
avru,अवरु,अवरू,एवरू,आवरू
awaru,अवरु,अवरू,आवरू,अवाू
avarodhak,अवरोधक,अवरोधक,आवरोधक,अवरोदक
avrodhak,अवरोधक,अवरोधक,आवरोधक,अवरोदक
avrodhk,अवरोधक,अवरोधक,अवरोदक,आवरोधक
avarnata,अवर्णता,अवर्णता,आवर्णता,अवरणणता
avarnataa,अवर्णता,अवर्णता,अवरणणता,आवर्णता
avranta,अवर्णता,अवरांता,अवरंंता,अवरांत
avashist,अवशिष्ट,अवशिस्त,आवशिस्त,अवािस्त
avshisht,अवशिष्ट,अवशिष्ट,आवशिष्ट,अवशिष्त
awashist,अवशिष्ट,अवशिस्त,आवशिस्त,अवािस्त
avasthaayen,अवस्थाएं,अवस्थाएं,आवस्थाएं,अवस्थायं
avsthaen,अवस्थाएं,अवस्थाएं,अवस्थाऐं,आवस्थाएं
avsthayen,अवस्थाएं,अवस्थाएं,अवस्थायं,अवस्थाऐं
awasthaen,अवस्थाएं,अवस्थाएं,आवस्थाएं,अवस्थाऐं
avi,अवि,अवि,अवी,आवि
avika,अविका,अविका,आविका,अवीका
aviral,अविरल,एविरल,अविरल,एवररल
avirl,अविरल,एवर्ल,अवर्ल,एवि्ल
avishvaasniy,अविश्वसनीय,अविश्वासनीय,अविश्वससनीय,आविश्वासनीय
avishvasniy,अविश्वसनीय,अविश्वसनीय,अविश्वानीय,आविश्वसनीय
avishvasniya,अविश्वसनीय,अविश्वसनीय,अविश्वानीय,आविश्वसनीय
avisvasniya,अविश्वसनीय,अविस्वासनीय,अविस्वससनीय,अविस्वास्ीय
aviva,अवीवा,अविवा,आविवा,अवीवा
avaigyanic,अवैज्ञानिक,अवैज्ञानिक,अवैग्ञानिक,आवैज्ञानिक
avaigyanik,अवैज्ञानिक,अवैज्ञानिक,आवैज्ञानिक,अवैग्ञानिक
avegyanik,अवैज्ञानिक,अवेग्यानिक,आवेग्यानिक,अवैग्यानिक
ashaktataa,अशक्तता,अशक्तता,आशक्तता,अषक्तता
ashktta,अशक्तता,अषक्तता,अशक्तता,अषक्त्ा
asharaphi,अशरफी,अश्रफाफी,अशारफाफी,अश्रफफफी
ashrafi,अशरफी,अश्रफी,आश्रफी,अशररफी
ashariri,अशरीरी,आशारीरी,आशररीरी,आश्रीरी
ashriri,अशरीरी,आश्रीरी,अश्रीरी,आश्रिरी
ashrvatath,अश्वत्थ,अश्रवात्थ,अश्रवतत्थ,आश्रवात्थ
ashvtth,अश्वत्थ,अश्वत्थ,आश्वत्थ,अश्वत्त
asamaany,असमान्य,असमान्य,अस्ान्य,असाान्य
asamany,असमान्य,असमान्य,असाान्य,अस्ान्य
asmanye,असमान्य,असमान्य,अस्ान्य,असमानयय
asaamnjsy,असामंजस्य,असामंजसी,असामंजीी,असामंजस
asamanjasy,असामंजस्य,असमंजस,असमंजसी,असांजस
asamanjasya,असामंजस्य,असमंजसय,असांजसय,अस्ंजसय
asurakshit,असुरक्षित,असुरक्षित,आसुरक्षित,असूरक्षित
asurkshit,असुरक्षित,असुरक्षित,असुर््षित,आसुरक्षित
aset,असेट,असेत,असेट,एसेत
asset,असेट,असेट,असेत,एसेट
asvabhavik,अस्वभाविक,अस्वाभाविक,अस्वभभाविक,अस्वाभवविक
aswabhavik,अस्वभाविक,अस्वाभाविक,अस्वभभाविक,अस्वाभवविक
aswbhavik,अस्वभाविक,अस्वभाविक,आस्वभाविक,अस्वभ्विक
ahirauli,अहिरौली,अहिरौली,आहिरौली,जहिरौली
item,आइटम,आइटम,इइटम,आईटम
items,आइटम्स,आइट्डस,आइट्ड्,आइट्नस
idle,आइडल,आईडल,आइडल,इईडल
idol,आइडल,आईडल,इईडल,आइडल
icc,आइसीसी,आईसीसी,आईकीसी,ईईसीसी
iso,आइसो,इसो,ईसो,आसो
ipc,आईपीसी,आईपीसी,ईईपीसी,एईपीसी
ipad,आईपैड,इपाद,ईपाद,इपडद
iris,आईरिस,आईरिस,आईआिस,इईरिस
ounce,आउंस,आऊस,ऊऊस,आउस
aakaash,आकाश,आकाश,आकास,आक्श
aakash,आकाश,आकाश,आक्श,आकशश
aake,आके,आके,आक,आकी
aakhet,आखेट,आखेत,आखेट,आखैत
akhet,आखेट,अखेत,एखेत,आखेत
aagat,आगत,आगत,आगा,आगट
aagaman,आगमन,आगमन,आगमा,आगमण
aagman,आगमन,आगमान,आगमनन,आग्ान
aagaa,आग़ा,आगा,आगाज,आग़
aagah,आग़ा,आगाह,आगहह,आग्ह
agha,आग़ा,अगा,आगा,एगा
aagaashe,आगाशे,आग्गाशे,आगागाशे,आग्जाशे
aagashe,आगाशे,आगशे,आगाे,आग्े
agashe,आगाशे,अगशे,अगाे,आगशे
aajmaanaa,आजमाना,आजमाना,आजमान,अजमाना
aajmana,आजमाना,आजमाना,आजमान,अजमाना
aazmaanaa,आजमाना,आमाना,आममना,आम्ना
aata,आटा,आता,आटा,अता
ata,आटा,अता,एता,आता
atta,आटा,अत्ता,अट्ता,आत्ता
aatmayen,आत्माएं,आत्मायें,आत्माएें,आत्मययें
atmaen,आत्माएं,आत्माएं,आत्माइं,अत्माएं
aadaan,आदान,आदान,आडान,आदां
aadan,आदान,आदान,आदनन,आडान
aadhaarit,आधारित,आधारित,आधारीत,अधारित
aadharit,आधारित,आधारित,आधारीत,आध्रित
adharit,आधारित,अधारित,आधारित,अधारीत
aadheen,आधीन,आधीन,आधिन,अधीन
aadhin,आधीन,आधिन,आधीन,अधिन
aadhunik,आधुनिक,आधुनिक,आधूनिक,आधुणिक
aanad,आनद,आनाद,आनदद,आंाद
aanand,आनद,आनंद,आनाद,आंंद
anand,आनद,अनंद,अनाद,एनंद
aapka,आपका,आपका,आपक,आप्ा
aapkaa,आपका,आपका,अपका,आप्ा
aapadaaaen,आपदाएं,आपदाएं,आपदाऐं,आपााएं
aapdaein,आपदाएं,आपदाएं,आपदाऐं,आपडाएं
aapdayein,आपदाएं,आपदायें,आपदायीं,आपदाएें
aabantit,आबंटित,आबंतित,आबातित,आबंटित
abantit,आबंटित,अबंतित,आबंतित,अबंटित
aabru,आबरू,आबरू,आब्ू,आबरु
abaru,आबरू,अबारू,एबारू,अबररू
aamdan,आमदन,आमदान,आंदान,आजदान
amadan,आमदन,अमदान,अमाान,आमदान
aamdani,आमदनी,आमदानी,आंदानी,आमडानी
amadani,आमदनी,अमादानी,अमादननी,अमददानी
aamdi,आमदी,आमड़ी,आमद़ी,आंड़ी
amdi,आमदी,अमड़ी,अमद़ी,अंड़ी
aamod,आमोद,आमोद,आमोड,अमोद
amod,आमोद,अमोद,आमोद,अमौद
aayenge,आयेंगे,आयेंगे,आएेंगे,आइेंगे
aayojak,आयोजक,आयोजक,अयोजक,आयोजा
ro,आरओ,रो,आो,रॉ
rp,आरपी,आरपी,एरपी,आरपे
aaraam,आराम,आराम,आरमम,आर्म
aaram,आराम,आरम,आरा,आर्
aram,आराम,अरम,अरा,आरम
aarushi,आरुषि,आरुषी,आरूषी,आरुषि
arushi,आरुषि,अरुषी,आरुषी,अरुशी
artery,आर्टरी,आर्टी,आर्टे,आर्टर
order,आर्डर,ऑर्डर,आर्डर,अर्डर
aary,आर्य,आर्य,आरीय,आरेय
aarya,आर्य,आर्या,आर्य,आरयया
arya,आर्य,अर्या,अर्य,आर्या
aaryika,आर्यिका,आर्यिका,आरययिका,आरियिका
aryika,आर्यिका,अर्यिका,आर्यिका,अरययिका
aarya,आर्यो,आर्या,आर्य,आरयया
arya,आर्यो,अर्या,अर्य,आर्या
aryo,आर्यो,अर्यो,आर्यो,एर्यो
aaryan,आर्यों,आर्याण,आर्यान,आरययाण
arya,आर्यों,अर्या,अर्य,आर्या
aryon,आर्यों,अर्यों,आर्यों,एर्यों
aalsi,आलसी,आलसी,आल्ी,आलस्
alasi,आलसी,अलासी,आलासी,एलासी
aalochak,आलोचक,आलोचक,आलूचक,अलोचक
alochak,आलोचक,अलोचक,आलोचक,एलोचक
aalochakon,आलोचकों,आलोचकों,आलूचकों,अलोचकों
alochakon,आलोचकों,आलोचकों,अलोचकों,एलोचकों
aalha,आल्हा,आल्हा,आलाहा,आल्ह
aalhaa,आल्हा,आल्हा,आल्ह,आलाहा
alha,आल्हा,अल्हा,अल्ह,आल्हा
allah,आल्हा,अल्लाह,आल्लाह,एल्लाह
aawaazen,आवाज़ें,आवाजें,आवाजां,आवाएें
aawajen,आवाज़ें,आवाजें,आवाजे,आवाजनं
awaazen,आवाज़ें,अवाजें,आवाजें,अवाईें
awazen,आवाज़ें,आवाई,आवाए,आवाज
aawajon,आवाज़ों,आवाजों,आवजजों,आवाजो
aawazon,आवाज़ों,आवाजों,आवावों,आवाओों
awaazon,आवाज़ों,अवाजों,आवाजों,अवावों
awazon,आवाज़ों,आवाजों,आवाओों,आवावों
aavishakaar,आविष्कार,आविशकार,आविशाार,आविषकार
aavishkaar,आविष्कार,आविष्कार,आविश्कार,आविस्कार
avishkar,आविष्कार,अविष्कार,अविश्कार,आविष्कार
aavriti,आवृत्ति,आवृति,आवरति,आरृति
aavritti,आवृत्ति,आवृत्ति,आवरत्ति,आवृट्ति
avuti,आवृत्ति,आवूति,अवूति,आवुति
aavritiyon,आवृत्तियों,आवृतियों,आवरतियों,आवृतियां
aavrittiyon,आवृत्तियों,आवृत्तियों,आवृतितियों,आवरत्तियों
avrutiyon,आवृत्तियों,अवरूतियों,अवर्तियों,अवृूतियों
aashanka,आशंका,आशंका,आषंका,आशाका
ashanka,आशंका,अशंका,आशंका,अषंका
aashriton,आश्रितों,आश्रितों,आश्रीतों,आशृरितों
ashriton,आश्रितों,अश्रितों,अश्रीतों,आश्रितों
aasaan,आसान,आसान,आसां,आसनन
aasan,आसान,आसन,आसा,आसण
asan,आसान,असन,एसन,असा
aastik,आस्तिक,आस्तिक,आस्टिक,आसततिक
astik,आस्तिक,अस्तिक,आस्तिक,एस्तिक
aasteen,आस्तीन,आस्तीन,आस्तिन,आस्तीं
aastin,आस्तीन,आस्तिन,आस्तीन,आस्टिन
astin,आस्तीन,एस्टिन,अस्टिन,आस्टिन
aahnaan,आह्नान,आहनान,आह्ान,आहाान
aahnan,आह्नान,आहनान,आह्ान,आहननन
ahyan,आह्नान,अह्यान,अह्वान,आह्यान
england,इंग्लैंड,एंगलैंड,एंग्ैंड,इंगलैंड
engineer,इंजिनियर,इंजीनियर,इंजिनियर,एंजीनियर
introduction,इंट्रोडक्शन,इंट्रोडक्शन,इंटररोडक्शन,इंट्रॉडक्शन
insurance,इंश्योरेंस,इनसारेंस,इनसूरेंस,इंसारेंस
ear,इअर,ईयर,इयर,ईजर
eyer,इअर,ईयर,एयर,आयर
eon,इआन,इयन,ईयन,इयो
iaan,इआन,इजान,ईजान,आजान
ekattha,इकट्ठा,इक्ट्ठा,एक्ट्ठा,इक्क्ठा
ikattha,इकट्ठा,इक्ट्ठा,इक्क्ठा,इकटट्ठा
ekatthi,इकठ्ठी,एक्ट्ठी,एक्क्ठी,इक्ट्ठी
ekthi,इकठ्ठी,इक्थी,इक्ठी,एक्थी
ikatthi,इकठ्ठी,इक्कठी,इक्क्ी,इक्टठी
ekaee,इकाई,एकाई,इकाई,ईकाई
ikai,इकाई,ईकाई,इकाई,जकाई
ekaeyon,इकाईयों,एकाइयों,इकाइयों,ईकाइयों
ikaiyon,इकाईयों,इकाइयों,ईकाइयों,इकाईयों
ikarion,इकाईयों,इकारियों,इकररियों,ईकारियों
economic,इकोनोमिक,इकॉनॉमिक,इकोनॉमिक,इकननॉमिक
ecuador,इक्वाडोर,इक्याडोर,एक्याडोर,इक्युडोर
equador,इक्वाडोर,एक्सेडर,एक्साडर,एक्सडडर
equities,इक्विटीज,एक्सीटीज,एक्सिटीज,इक्सीटीज
ikvitija,इक्विटीज,इकवितिजा,इकवितीजा,इक्ितिजा
ijaajat,इजाजत,इजाजात,इजाज़त,इजाजतत
ijajat,इजाजत,इजाजत,इजाज़,इज़जत
inhalation,इनहेलेशन,इन्हालेशन,इन्हेलेशन,इनहहालेशन
inhaletion,इनहेलेशन,इन्हालेशन,इन्हेलेशन,इं्हालेशन
ibija,इबीजा,इबिजा,इबीजा,इब्जा
ibiza,इबीजा,इबिया,इजिया,इइिया
imaging,इमेजिंग,इमैजिंग,इम्जिंग,आमैजिंग
immune,इम्युन,इम्यून,इम्युन,इम्मून
elaichi,इलाइची,इलाईची,इलाइची,इलाईचि
ilaichi,इलाइची,इलाईची,इलाइची,इलाईचि
ilayachi,इलाइची,इलायची,इलायचि,इलायाी
ilayichi,इलाइची,इलाईची,इलायची,इलाईचि
elaaj,इलाज,इलाज,एलाज,इल्ज
ilaaj,इलाज,इलाज,इल्ज,ईलाज
ilaj,इलाज,इलाज,इल्ज,ईलाज
ishaak,इशाक,इशाक,ईशाक,इषाक
ishaaq,इशाक,इशाक,ईशाक,इषाक
ishak,इशाक,इशाक,ईशाक,इश्क
ishaara,इशारा,इशारा,ईशारा,इशार
ishaaraa,इशारा,इशारा,ईशारा,इषारा
ishara,इशारा,इशारा,इशररा,ईशारा
ishita,इशिता,इशिता,ईशिता,इशीता
isht,इष्ट,इष्ट,ईष्ट,इश्ट
isteefe,इस्तीफे,इस्टीफ,आस्टीफ,ईस्टीफ
istife,इस्तीफे,इस्टीफ,इस्टिफ,इस्टीफे
ea,ईए,ईए,ईएई,ईएए
ia,ईए,आईए,इईए,ईईए
eater,ईटर,ईटर,इटर,ईतर
iter,ईटर,आइटर,इइटर,आईटर
email,ईमेल,इमाइल,इमेइल,एमाइल
emailon,ईमेलों,इमाइलों,एमाइलों,इम्इलों
emelon,ईमेलों,इमिलन,इमिलो,इमेलन
evening,ईवनिंग,इवनिंग,इवेिंग,ईवनिंग
east,ईष्ट,ईस्ट,इस्ट,ईस्त
ishat,ईष्ट,इशात,ईशात,इशतत
isht,ईष्ट,इष्ट,ईष्ट,इश्ट
isaaiyon,ईसाइयों,ईसाइयों,इसाइयों,ईसाईयों
isaiyon,ईसाइयों,इसाइयों,ईसाइयों,इसाईयों
isayiyon,ईसाइयों,ईसाइयों,ईसाईयों,इसाइयों
ikhrul,उखरुल,इखरूल,इखरुल,ईखरूल
ukhrool,उखरुल,उखरूल,उकरूल,अखरूल
ukhrul,उखरुल,उखरूल,उकरूल,उखरुल
uchhalane,उछालने,उछालने,उछललने,उचालने
uchhalne,उछालने,उछलने,उचलने,उछाने
ujback,उज़्बेक,उज्बैक,उजबबैक,उज्बेक
uzbek,उज़्बेक,उबेक,ऊबेक,उबकक
uthane,उठने,उठाने,उथाने,उठनने
uthne,उठने,उठने,उथने,उतने
uthaakar,उठाकर,उठाकर,उताकर,उथाकर
uthakar,उठाकर,उठाकर,उथाकर,उठाका
uthaapatak,उठापटक,उठापतक,उठापटक,उतापतक
uthapatak,उठापटक,उठापतक,उठापटक,उतापतक
uthen,उठें,उठें,उठेन,ऊठें
udaan,उड़ान,उदान,उडान,ऊदान
udan,उड़ान,उदान,उडान,उद्न
